"",Afghanistan,33.93911,67.709953,Eastern Mediterranean
"",Albania,41.1533,20.1683,Europe
"",Algeria,28.0339,1.6596,Africa
"",Andorra,42.5063,1.5218,Europe
"",Angola,-11.2027,17.8739,Africa
"",Antigua and Barbuda,17.0608,-61.7964,Americas
"",Argentina,-38.4161,-63.6167,Americas
"",Armenia,40.0691,45.0382,Europe
Australian Capital Territory,Australia,-35.4735,149.0124,Western Pacific
New South Wales,Australia,-33.8688,151.2093,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,Western Pacific
Queensland,Australia,-27.4698,153.0251,Western Pacific
South Australia,Australia,-34.9285,138.6007,Western Pacific
Tasmania,Australia,-42.8821,147.3272,Western Pacific
Victoria,Australia,-37.8136,144.9631,Western Pacific
Western Australia,Australia,-31.9505,115.8605,Western Pacific
"",Austria,47.5162,14.5501,Europe
"",Azerbaijan,40.1431,47.5769,Europe
"",Bahamas,25.025885,-78.035889,Americas
"",Bahrain,26.0275,50.55,Eastern Mediterranean
"",Bangladesh,23.685,90.3563,South-East Asia
"",Barbados,13.1939,-59.5432,Americas
"",Belarus,53.7098,27.9534,Europe
"",Belgium,50.8333,4.469936,Europe
"",Benin,9.3077,2.3158,Africa
"",Bhutan,27.5142,90.4336,South-East Asia
"",Bolivia,-16.2902,-63.5887,Americas
"",Bosnia and Herzegovina,43.9159,17.6791,Europe
"",Brazil,-14.235,-51.9253,Americas
"",Brunei,4.5353,114.7277,Western Pacific
"",Bulgaria,42.7339,25.4858,Europe
"",Burkina Faso,12.2383,-1.5616,Africa
"",Cabo Verde,16.5388,-23.0418,Africa
"",Cambodia,11.55,104.9167,Western Pacific
"",Cameroon,3.8480000000000003,11.5021,Africa
Alberta,Canada,53.9333,-116.5765,Americas
British Columbia,Canada,53.7267,-127.6476,Americas
Manitoba,Canada,53.7609,-98.8139,Americas
New Brunswick,Canada,46.5653,-66.4619,Americas
Newfoundland and Labrador,Canada,53.1355,-57.6604,Americas
Nova Scotia,Canada,44.681999999999995,-63.7443,Americas
Ontario,Canada,51.2538,-85.3232,Americas
Prince Edward Island,Canada,46.5107,-63.4168,Americas
Quebec,Canada,52.9399,-73.5491,Americas
Saskatchewan,Canada,52.9399,-106.4509,Americas
"",Central African Republic,6.6111,20.9394,Africa
"",Chad,15.4542,18.7322,Africa
"",Chile,-35.6751,-71.543,Americas
Anhui,China,31.8257,117.2264,Western Pacific
Beijing,China,40.1824,116.4142,Western Pacific
Chongqing,China,30.0572,107.874,Western Pacific
Fujian,China,26.0789,117.9874,Western Pacific
Gansu,China,35.7518,104.2861,Western Pacific
Guangdong,China,23.3417,113.4244,Western Pacific
Guangxi,China,23.8298,108.7881,Western Pacific
Guizhou,China,26.8154,106.8748,Western Pacific
Hainan,China,19.1959,109.7453,Western Pacific
Hebei,China,39.549,116.1306,Western Pacific
Heilongjiang,China,47.861999999999995,127.7615,Western Pacific
Henan,China,37.8957,114.9042,Western Pacific
Hong Kong,China,22.3,114.2,Western Pacific
Hubei,China,30.9756,112.2707,Western Pacific
Hunan,China,27.6104,111.7088,Western Pacific
Inner Mongolia,China,44.0935,113.9448,Western Pacific
Jiangsu,China,32.9711,119.455,Western Pacific
Jiangxi,China,27.614,115.7221,Western Pacific
Jilin,China,43.6661,126.1923,Western Pacific
Liaoning,China,41.2956,122.6085,Western Pacific
Macau,China,22.1667,113.55,Western Pacific
Ningxia,China,37.2692,106.1655,Western Pacific
Qinghai,China,35.7452,95.9956,Western Pacific
Shaanxi,China,35.1917,108.8701,Western Pacific
Shandong,China,36.3427,118.1498,Western Pacific
Shanghai,China,31.201999999999998,121.4491,Western Pacific
Shanxi,China,37.5777,112.2922,Western Pacific
Sichuan,China,30.6171,102.7103,Western Pacific
Tianjin,China,39.3054,117.323,Western Pacific
Tibet,China,31.6927,88.0924,Western Pacific
Xinjiang,China,41.1129,85.2401,Western Pacific
Yunnan,China,24.974,101.48700000000001,Western Pacific
Zhejiang,China,29.1832,120.0934,Western Pacific
"",Colombia,4.5709,-74.2973,Americas
"",Congo (Brazzaville),-0.228,15.8277,Africa
"",Congo (Kinshasa),-4.0383,21.7587,Africa
"",Costa Rica,9.7489,-83.7534,Americas
"",Cote d'Ivoire,7.54,-5.5471,Africa
"",Croatia,45.1,15.2,Europe
"",Cuba,21.521757,-77.78116700000002,Americas
"",Cyprus,35.1264,33.4299,Europe
"",Czechia,49.8175,15.472999999999999,Europe
Faroe Islands,Denmark,61.8926,-6.9118,Europe
Greenland,Greenland,71.7069,-42.6043,Europe
"",Denmark,56.2639,9.5018,Europe
"",Djibouti,11.8251,42.5903,Eastern Mediterranean
"",Dominican Republic,18.7357,-70.1627,Americas
"",Ecuador,-1.8312,-78.1834,Americas
"",Egypt,26.820553000000004,30.802497999999996,Eastern Mediterranean
"",El Salvador,13.7942,-88.8965,Americas
"",Equatorial Guinea,1.6508,10.2679,Africa
"",Eritrea,15.1794,39.7823,Africa
"",Estonia,58.5953,25.0136,Europe
"",Eswatini,-26.5225,31.4659,Africa
"",Ethiopia,9.145,40.4897,Africa
"",Fiji,-17.7134,178.065,Western Pacific
"",Finland,61.92411,25.748151,Europe
French Guiana,France,3.9339,-53.1258,Europe
French Polynesia,France,-17.6797,149.4068,Europe
Guadeloupe,France,16.265,-61.551,Europe
Mayotte,France,-12.8275,45.166244,Europe
New Caledonia,France,-20.904304999999997,165.618042,Europe
Reunion,France,-21.1151,55.5364,Europe
Saint Barthelemy,France,17.9,-62.8333,Europe
St Martin,France,18.0708,-63.0501,Europe
Martinique,France,14.6415,-61.0242,Europe
"",France,46.2276,2.2137,Europe
"",Gabon,-0.8037,11.6094,Africa
"",Gambia,13.4432,-15.3101,Africa
"",Georgia,42.3154,43.3569,Europe
"",Germany,51.165690999999995,10.451526,Europe
"",Ghana,7.9465,-1.0232,Africa
"",Greece,39.0742,21.8243,Europe
"",Guatemala,15.7835,-90.2308,Americas
"",Guinea,9.9456,-9.6966,Africa
"",Guyana,4.860416000000002,-58.93018000000001,Americas
"",Haiti,18.9712,-72.2852,Americas
"",Holy See,41.9029,12.4534,Europe
"",Honduras,15.2,-86.2419,Americas
"",Hungary,47.1625,19.5033,Europe
"",Iceland,64.9631,-19.0208,Europe
"",India,20.593684,78.96288,South-East Asia
"",Indonesia,-0.7893,113.9213,South-East Asia
"",Iran,32.427908,53.68804599999999,Eastern Mediterranean
"",Iraq,33.223191,43.679291,Eastern Mediterranean
"",Ireland,53.1424,-7.6921,Europe
"",Israel,31.046051000000002,34.851612,Europe
"",Italy,41.87194,12.56738,Europe
"",Jamaica,18.1096,-77.2975,Americas
"",Japan,36.204824,138.252924,Western Pacific
"",Jordan,31.24,36.51,Eastern Mediterranean
"",Kazakhstan,48.0196,66.9237,Europe
"",Kenya,-0.0236,37.9062,Africa
"",South Korea,35.90775700000001,127.766922,Western Pacific
"",Kuwait,29.311659999999996,47.481766,Eastern Mediterranean
"",Kyrgyzstan,41.20438,74.766098,Europe
"",Latvia,56.8796,24.6032,Europe
"",Lebanon,33.8547,35.8623,Eastern Mediterranean
"",Liberia,6.4280550000000005,-9.429499,Africa
"",Liechtenstein,47.14,9.55,Europe
"",Lithuania,55.1694,23.8813,Europe
"",Luxembourg,49.8153,6.1296,Europe
"",Madagascar,-18.766947000000002,46.869107,Africa
"",Malaysia,4.210483999999999,101.97576600000001,Western Pacific
"",Maldives,3.2028,73.2207,South-East Asia
"",Malta,35.9375,14.3754,Europe
"",Mauritania,21.0079,-10.9408,Africa
"",Mauritius,-20.348404000000002,57.552152,Africa
"",Mexico,23.6345,-102.5528,Americas
"",Moldova,47.4116,28.3699,Europe
"",Monaco,43.7333,7.4167,Europe
"",Mongolia,46.8625,103.8467,Western Pacific
"",Montenegro,42.708678000000006,19.37439,Europe
"",Morocco,31.7917,-7.0926,Eastern Mediterranean
"",Namibia,-22.9576,18.4904,Africa
"",Nepal,28.1667,84.25,South-East Asia
Aruba,Netherlands,12.5211,-69.9683,Europe
Curacao,Netherlands,12.1696,-68.99,Europe
Sint Maarten,Netherlands,18.0425,-63.0548,Europe
"",Netherlands,52.1326,5.2913,Europe
"",New Zealand,-40.9006,174.886,Western Pacific
"",Nicaragua,12.865416,-85.207229,Americas
"",Niger,17.607789,8.081666,Africa
"",Nigeria,9.082,8.6753,Africa
"",North Macedonia,41.6086,21.7453,Europe
"",Norway,60.472,8.4689,Europe
